customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST100000,Male,0,Yes,No,45,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Credit card (automatic),18.0,778.2,No
CUST100001,Female,0,Yes,No,25,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,18.0,504.2,Yes
CUST100002,Female,0,No,No,49,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),53.18,2622.38,No
CUST100003,Female,0,No,Yes,25,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),36.42,861.17,Yes
CUST100004,Male,0,No,Yes,70,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,21.5,1593.75,No
CUST100005,Male,0,No,No,31,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,27.17,827.13,No
CUST100006,Male,0,Yes,No,43,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Mailed check,53.31,2272.36,No
CUST100007,Female,0,No,Yes,25,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),37.11,908.34,No
CUST100008,Female,0,No,Yes,60,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),38.15,2321.3,No
CUST100009,Female,0,No,Yes,50,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),37.8,1855.43,No
CUST100010,Male,0,No,No,58,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Mailed check,18.0,1047.61,No
CUST100011,Female,0,No,No,37,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),47.03,1738.29,No
CUST100012,Female,0,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.0,459.92,No
CUST100013,Male,0,No,Yes,44,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),18.0,761.46,No
CUST100014,Male,0,Yes,Yes,30,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Mailed check,18.81,576.11,No
CUST100015,Male,0,Yes,No,69,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),50.08,3525.69,No
CUST100016,Male,0,No,No,44,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),18.0,810.55,No
CUST100017,Female,0,Yes,No,30,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Credit card (automatic),18.0,544.86,No
CUST100018,Male,0,No,Yes,60,No,No phone service,DSL,No,No,No,No,No,Yes,Two year,Yes,Electronic check,18.0,1059.38,No
CUST100019,Male,0,Yes,No,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),26.4,1164.76,No
CUST100020,Female,0,No,No,44,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,48.89,2212.41,No
CUST100021,Male,0,Yes,No,59,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),25.73,1485.39,No
CUST100022,Male,1,Yes,No,60,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),42.71,2463.74,No
CUST100023,Male,0,Yes,Yes,51,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,18.0,911.3,No
CUST100024,Male,0,No,No,51,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),18.52,938.03,No
CUST100025,Female,0,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.0,1038.03,Yes
CUST100026,Male,0,No,No,25,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,48.53,1215.93,Yes
CUST100027,Female,1,Yes,No,66,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.81,3063.33,No
CUST100028,Female,0,Yes,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.67,1190.44,No
CUST100029,Male,0,Yes,No,43,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),44.22,1890.23,No
CUST100030,Female,0,Yes,No,35,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),18.0,659.41,No
CUST100031,Male,0,No,No,52,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Mailed check,18.0,944.05,No
CUST100032,Male,0,No,Yes,43,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.41,1509.48,Yes
CUST100033,Female,0,Yes,Yes,21,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,No,Credit card (automatic),18.0,360.74,No
CUST100034,Female,0,No,No,1,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Electronic check,56.58,2.64,No
CUST100035,Female,0,No,Yes,6,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),40.4,158.76,No
CUST100036,Male,0,Yes,No,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,45.23,694.55,No
CUST100037,Male,0,Yes,Yes,43,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),33.62,1491.47,Yes
CUST100038,Female,0,No,No,64,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,44.98,2844.2,No
CUST100039,Male,0,Yes,Yes,72,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),39.77,2854.74,No
CUST100040,Male,0,Yes,No,70,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),46.94,3282.77,Yes
CUST100041,Female,0,Yes,No,68,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),46.14,3130.09,No
CUST100042,Male,0,No,No,60,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),22.3,1387.5,No
CUST100043,Female,0,Yes,No,29,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),51.19,1421.35,No
CUST100044,Male,1,Yes,No,41,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,36.39,1586.35,No
CUST100045,Female,0,Yes,No,24,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,51.96,1219.29,No
CUST100046,Male,0,Yes,No,70,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),18.0,1290.28,No
CUST100047,Female,0,Yes,No,56,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,53.73,2996.68,No
CUST100048,Female,0,No,No,31,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,26.52,822.05,No
CUST100049,Male,0,Yes,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.0,836.05,No
CUST100050,Female,0,No,No,9,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),43.52,404.75,No
CUST100051,Female,0,Yes,Yes,21,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),35.81,781.34,No
CUST100052,Female,1,No,No,40,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,No,Electronic check,18.0,723.88,No
CUST100053,Female,0,No,No,46,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,48.35,2144.69,Yes
CUST100054,Female,0,Yes,No,13,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),18.21,200.98,No
CUST100055,Female,0,No,No,2,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),74.95,65.67,No
CUST100056,Male,0,No,No,52,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,24.92,1256.02,No
CUST100057,Male,0,No,No,15,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,55.34,770.49,No
CUST100058,Male,1,Yes,No,60,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Electronic check,19.18,1209.22,No
CUST100059,Male,1,No,No,27,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Electronic check,30.42,857.7,No
